"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-08","2019-05-09","00:00:00","","39","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-03","2019-04-04","00:00:00","","45","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-25","2019-06-26","00:00:00","","43","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-03-15","2019-03-18","00:00:00","","45","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-09","2019-07-10","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-27","2019-05-28","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-12","2019-04-22","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-27","2019-04-29","00:00:00","","38","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-08","2019-04-09","00:00:00","","39","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-03-22","2019-03-25","00:00:00","","30","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-12","2019-07-15","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-20","2019-06-21","00:00:00","","43","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-10","2019-05-13","00:00:00","","39","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-03-26","2019-03-27","00:00:00","","30","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-29","2019-05-30","00:00:00","","38","0"
"2019-03-04","1:Firm","D20312","SKC-900","6C52618122","6C526-1812-2","E50-BH","31106487","2019-03-04","2019-04-25","2019-04-26","00:00:00","2019/04/26","2","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-25","2019-04-26","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-02","2019-05-03","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-17","2019-06-18","00:00:00","","43","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-02","2019-07-03","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-05","2019-07-08","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-31","2019-06-03","00:00:00","","44","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-12","2019-06-13","00:00:00","","44","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-09","2019-05-10","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-10","2019-07-11","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-18","2019-06-19","00:00:00","","43","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-25","2019-07-30","00:00:00","","47","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-04","2019-04-05","00:00:00","","45","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-07","2019-05-08","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-03","2019-06-04","00:00:00","","44","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-03-13","2019-03-14","00:00:00","","30","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-03","2019-05-06","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-05","2019-06-06","00:00:00","","44","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-01","2019-04-02","00:00:00","","45","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-23","2019-05-24","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-17","2019-07-18","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-09","2019-04-10","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-24","2019-05-27","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-26","2019-06-27","00:00:00","","43","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-13","2019-05-14","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-13","2019-06-14","00:00:00","","44","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-22","2019-07-23","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-23","2019-04-24","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-21","2019-06-24","00:00:00","","43","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-24","2019-04-25","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-26","2019-04-27","00:00:00","","38","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-21","2019-05-22","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-10","2019-06-11","00:00:00","","44","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-03-27","2019-03-28","00:00:00","","45","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-03-29","2019-04-01","00:00:00","","45","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-15","2019-07-16","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-23","2019-07-24","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-30","2019-05-31","00:00:00","","38","0"
"2019-03-04","1:Firm","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","40872483","2019-02-28","2019-03-01","2019-03-04","00:00:00","2019/03/04","45","45"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-03-20","2019-03-21","00:00:00","","45","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-17","2019-05-20","00:00:00","","39","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-03-14","2019-03-15","00:00:00","","30","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-03","2019-07-04","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-08","2019-07-09","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-18","2019-07-19","00:00:00","","48","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-03-28","2019-03-29","00:00:00","","30","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-15","2019-05-16","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-29","2019-04-30","00:00:00","","38","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-11","2019-04-12","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-04","2019-06-05","00:00:00","","44","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-02","2019-04-03","00:00:00","","45","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-06","2019-06-07","00:00:00","","44","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-27","2019-06-28","00:00:00","","43","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-04-30","2019-05-02","00:00:00","","39","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-03-18","2019-03-19","00:00:00","","30","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-16","2019-07-17","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-19","2019-07-22","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-11","2019-06-12","00:00:00","","44","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-28","2019-05-29","00:00:00","","38","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-24","2019-06-25","00:00:00","","43","0"
"2019-03-04","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-03-12","2019-03-13","00:00:00","","30","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-11","2019-07-12","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-06","2019-05-07","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-01","2019-07-02","00:00:00","","48","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-30","2019-07-31","00:00:00","","47","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-06-19","2019-06-20","00:00:00","","43","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-16","2019-05-17","00:00:00","","39","0"
"2019-03-04","1:Firm","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","40875842","2019-03-04","2019-03-04","2019-03-05","00:00:00","2019/03/05","45","0"
"2019-03-04","1:Firm","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","40869001","2019-02-27","2019-02-28","2019-03-01","00:00:00","2019/03/01","30","30"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-22","2019-05-23","00:00:00","","39","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-07-24","2019-07-25","00:00:00","","47","0"
"2019-03-04","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-04","2019-05-14","2019-05-15","00:00:00","","39","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-02","2019-05-03","00:00:00","","39","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-19","2019-07-22","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-10","2019-04-11","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-08","2019-05-09","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-09","2019-07-10","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-12","2019-06-13","00:00:00","","44","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-10","2019-05-13","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-17","2019-06-18","00:00:00","","43","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-06","2019-05-07","00:00:00","","39","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-03-22","2019-03-25","00:00:00","","30","0"
"2019-03-05","1:Firm","D20312","SKC-900","6C52618122","6C526-1812-2","E50-BH","31106487","2019-03-05","2019-04-25","2019-04-26","00:00:00","2019/04/26","2","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-23","2019-05-24","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-20","2019-06-21","00:00:00","","43","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-25","2019-04-26","00:00:00","","37","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-28","2019-07-01","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-05","2019-06-06","00:00:00","","44","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-03-26","2019-03-27","00:00:00","","45","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-03-13","2019-03-14","00:00:00","","45","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-23","2019-04-24","00:00:00","","38","0"
"2019-03-05","1:Firm","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","40887416","2019-03-05","2019-03-07","2019-03-08","00:00:00","2019/03/08","30","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-01","2019-04-02","00:00:00","","45","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-02","2019-07-03","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-24","2019-07-25","00:00:00","","47","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-21","2019-05-22","00:00:00","","38","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-03-15","2019-03-18","00:00:00","","30","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-03-19","2019-03-20","00:00:00","","45","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-04","2019-04-05","00:00:00","","30","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-03","2019-05-06","00:00:00","","39","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-27","2019-04-29","00:00:00","","37","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-17","2019-07-18","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-30","2019-05-31","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-10","2019-06-11","00:00:00","","44","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-05","2019-07-08","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-22","2019-07-23","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-26","2019-04-27","00:00:00","","37","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-17","2019-05-20","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-12","2019-07-15","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-26","2019-06-27","00:00:00","","43","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-03-14","2019-03-15","00:00:00","","45","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-03-27","2019-03-28","00:00:00","","30","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-03","2019-06-04","00:00:00","","44","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-30","2019-05-02","00:00:00","","39","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-15","2019-05-16","00:00:00","","38","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-03-29","2019-04-01","00:00:00","","30","0"
"2019-03-05","1:Firm","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","40875842","2019-03-01","2019-03-04","2019-03-05","00:00:00","2019/03/05","45","45"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-13","2019-06-14","00:00:00","","44","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-21","2019-06-24","00:00:00","","43","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-18","2019-06-19","00:00:00","","43","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-03-20","2019-03-21","00:00:00","","45","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-06","2019-06-07","00:00:00","","44","0"
"2019-03-05","1:Firm","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","40872483","2019-02-28","2019-03-01","2019-03-04","00:00:00","2019/03/04","45","45"
"2019-03-05","1:Firm","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","40883591","2019-03-05","2019-03-06","2019-03-07","00:00:00","2019/03/07","45","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-13","2019-05-14","00:00:00","","38","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-02","2019-04-03","00:00:00","","30","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-15","2019-07-16","00:00:00","","48","0"
"2019-03-05","1:Firm","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","40869001","2019-02-27","2019-02-28","2019-03-01","00:00:00","2019/03/01","30","30"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-28","2019-05-29","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-18","2019-07-19","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-03","2019-07-04","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-08","2019-07-09","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-10","2019-07-11","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-25","2019-07-30","00:00:00","","47","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-07","2019-05-08","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-24","2019-04-25","00:00:00","","37","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-24","2019-05-27","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-09","2019-05-10","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-11","2019-04-12","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-22","2019-05-23","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-11","2019-07-12","00:00:00","","48","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-09","2019-04-10","00:00:00","","60","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-27","2019-06-28","00:00:00","","43","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-04-22","2019-04-23","00:00:00","","38","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-03-18","2019-03-19","00:00:00","","45","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-24","2019-06-25","00:00:00","","43","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-07","2019-06-10","00:00:00","","44","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-04","2019-06-05","00:00:00","","44","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-06-19","2019-06-20","00:00:00","","43","0"
"2019-03-05","2:Daily forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-03-25","2019-03-26","00:00:00","","30","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-14","2019-05-15","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-01","2019-07-02","00:00:00","","48","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-05-20","2019-05-21","00:00:00","","38","0"
"2019-03-05","10:Total forecast","D20311","SKC-500","6C52618122","6C526-1812-2","E50-BH","","2019-03-05","2019-07-23","2019-07-24","00:00:00","","48","0"
