"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-03","2019-06-04","00:00:00","","06","3","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-20","2019-06-21","00:00:00","","06","78","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-06","2019-06-07","00:00:00","","06","3","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-04","2019-06-05","00:00:00","","06","9","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-06","2019-06-07","00:00:00","","06","9","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-20","2019-05-21","00:00:00","","05","60","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-07","2019-05-08","00:00:00","","05","195","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-07","2019-06-10","00:00:00","","06","6","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-07","2019-06-10","00:00:00","","06","15","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-03","2019-07-04","00:00:00","","07","33","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-07","2019-06-10","00:00:00","","06","51","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-09","2019-05-10","00:00:00","","05","30","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-01","2019-07-02","00:00:00","","07","33","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-10","2019-06-11","00:00:00","","06","9","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-10","2019-06-11","00:00:00","","06","6","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-10","2019-06-11","00:00:00","","06","15","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-10","2019-06-11","00:00:00","","06","51","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-21","2019-06-24","00:00:00","","06","24","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-22","2019-05-23","00:00:00","","05","75","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-31","2019-06-03","00:00:00","","06","3","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-05","2019-07-08","00:00:00","","07","57","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-24","2019-07-25","00:00:00","","07","90","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-18","2019-07-19","00:00:00","","07","27","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-14","2019-06-17","00:00:00","","06","78","0"
"2019-05-03","1:Firm","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","FYJ5400513","2019-05-03","2019-05-06","2019-05-07","00:00:00","2019/05/07","05","60","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-25","2019-06-26","00:00:00","","06","24","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-09","2019-07-10","00:00:00","","07","57","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-14","2019-05-15","00:00:00","","05","30","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-12","2019-07-15","00:00:00","","07","27","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-04","2019-06-05","00:00:00","","06","3","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-10","2019-07-11","00:00:00","","07","57","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-06","2019-06-07","00:00:00","","06","6","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-06","2019-06-07","00:00:00","","06","15","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-17","2019-06-18","00:00:00","","06","78","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-12","2019-06-13","00:00:00","","06","15","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-12","2019-06-13","00:00:00","","06","51","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-27","2019-06-28","00:00:00","","06","24","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-28","2019-07-01","00:00:00","","07","33","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-22","2019-07-23","00:00:00","","07","90","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-23","2019-07-24","00:00:00","","07","90","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-23","2019-05-24","00:00:00","","05","120","0"
"2019-05-03","1:Firm","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","FYJ5400163","2019-05-03","2019-05-03","2019-05-06","00:00:00","2019/05/06","05","15","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-13","2019-05-14","00:00:00","","05","75","0"
"2019-05-03","1:Firm","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","FYJ5400512","2019-05-03","2019-05-03","2019-05-06","00:00:00","2019/05/06","05","15","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-16","2019-07-17","00:00:00","","07","27","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-27","2019-05-28","00:00:00","","05","30","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-19","2019-06-20","00:00:00","","06","78","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-08","2019-05-09","00:00:00","","05","75","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-15","2019-05-16","00:00:00","","05","60","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-05","2019-06-06","00:00:00","","06","3","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-02","2019-07-03","00:00:00","","07","33","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-19","2019-07-22","00:00:00","","07","90","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-10","2019-05-11","00:00:00","","05","45","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-10","2019-05-13","00:00:00","","05","45","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-17","2019-07-18","00:00:00","","07","27","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-05","2019-06-06","00:00:00","","06","9","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-05","2019-06-06","00:00:00","","06","6","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-07","2019-06-10","00:00:00","","06","9","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-04","2019-07-05","00:00:00","","07","33","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-15","2019-07-16","00:00:00","","07","27","0"
"2019-05-03","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-13","2019-06-14","00:00:00","","06","51","0"
"2019-05-03","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-21","2019-05-22","00:00:00","","05","165","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-21","2019-05-22","00:00:00","","05","165","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-11","2019-06-12","00:00:00","","06","6","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-11","2019-06-12","00:00:00","","06","15","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-11","2019-06-12","00:00:00","","06","51","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-11","2019-07-12","00:00:00","","07","57","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-18","2019-06-19","00:00:00","","06","78","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-24","2019-05-25","00:00:00","","05","45","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-05","2019-06-06","00:00:00","","06","9","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-24","2019-05-27","00:00:00","","05","225","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-05","2019-06-06","00:00:00","","06","6","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-04","2019-07-05","00:00:00","","07","33","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-20","2019-06-21","00:00:00","","06","78","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-03","2019-06-04","00:00:00","","06","3","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-01","2019-07-02","00:00:00","","07","33","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-04","2019-06-05","00:00:00","","06","3","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-21","2019-06-24","00:00:00","","06","24","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-20","2019-05-21","00:00:00","","05","60","0"
"2019-05-04","1:Firm","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","FYJ5400513","2019-05-03","2019-05-06","2019-05-07","00:00:00","2019/05/07","05","60","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-10","2019-06-11","00:00:00","","06","9","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-10","2019-06-11","00:00:00","","06","6","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-10","2019-06-11","00:00:00","","06","15","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-10","2019-06-11","00:00:00","","06","51","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-24","2019-07-25","00:00:00","","07","90","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-22","2019-05-23","00:00:00","","05","75","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-05","2019-07-08","00:00:00","","07","57","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-18","2019-07-19","00:00:00","","07","27","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-31","2019-06-03","00:00:00","","06","3","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-14","2019-06-17","00:00:00","","06","78","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-09","2019-07-10","00:00:00","","07","57","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-12","2019-07-15","00:00:00","","07","27","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-03","2019-07-04","00:00:00","","07","33","0"
"2019-05-04","1:Firm","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","FYJ5400163","2019-05-03","2019-05-03","2019-05-06","00:00:00","2019/05/06","05","15","0"
"2019-05-04","1:Firm","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","FYJ5400512","2019-05-03","2019-05-03","2019-05-06","00:00:00","2019/05/06","05","15","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-14","2019-05-15","00:00:00","","05","30","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-10","2019-07-11","00:00:00","","07","57","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-12","2019-06-13","00:00:00","","06","15","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-12","2019-06-13","00:00:00","","06","51","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-17","2019-06-18","00:00:00","","06","78","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-25","2019-06-26","00:00:00","","06","24","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-09","2019-05-10","00:00:00","","05","30","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-27","2019-06-28","00:00:00","","06","24","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-06","2019-06-07","00:00:00","","06","3","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-28","2019-07-01","00:00:00","","07","33","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-06","2019-06-07","00:00:00","","06","9","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-22","2019-07-23","00:00:00","","07","90","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-06","2019-06-07","00:00:00","","06","6","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-23","2019-07-24","00:00:00","","07","90","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-06","2019-06-07","00:00:00","","06","15","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-16","2019-07-17","00:00:00","","07","27","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-04","2019-06-05","00:00:00","","06","9","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-08","2019-05-09","00:00:00","","05","75","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-19","2019-06-20","00:00:00","","06","78","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-23","2019-05-24","00:00:00","","05","120","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-05","2019-06-06","00:00:00","","06","3","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-27","2019-05-28","00:00:00","","05","30","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-02","2019-07-03","00:00:00","","07","33","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-13","2019-05-14","00:00:00","","05","75","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-15","2019-05-16","00:00:00","","05","60","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-24","2019-06-25","00:00:00","","06","24","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-19","2019-07-22","00:00:00","","07","90","0"
"2019-05-04","1:Firm","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","FYJ5400894","2019-05-03","2019-05-07","2019-05-08","00:00:00","2019/05/08","05","195","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-17","2019-07-18","00:00:00","","07","27","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-10","2019-05-11","00:00:00","","05","45","0"
"2019-05-04","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-10","2019-05-13","00:00:00","","05","45","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-07","2019-06-10","00:00:00","","06","9","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-07","2019-06-10","00:00:00","","06","6","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-07","2019-06-10","00:00:00","","06","15","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-13","2019-06-14","00:00:00","","06","51","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-07","2019-06-10","00:00:00","","06","51","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-15","2019-07-16","00:00:00","","07","27","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-26","2019-06-27","00:00:00","","06","24","0"
"2019-05-04","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-08","2019-07-09","00:00:00","","07","57","0"
"2019-05-05","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-11","2019-07-12","00:00:00","","07","57","0"
"2019-05-05","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-18","2019-06-19","00:00:00","","06","78","0"
"2019-05-05","1:Firm","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","FYJ5400513","2019-05-03","2019-05-06","2019-05-07","00:00:00","2019/05/07","05","60","0"
"2019-05-05","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-24","2019-05-25","00:00:00","","05","45","0"
"2019-05-05","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-05","2019-06-06","00:00:00","","06","9","0"
"2019-05-05","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-24","2019-05-27","00:00:00","","05","225","0"
"2019-05-05","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-05","2019-06-06","00:00:00","","06","6","0"
"2019-05-05","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-04","2019-07-05","00:00:00","","07","33","0"
"2019-05-05","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-20","2019-06-21","00:00:00","","06","78","0"
"2019-05-05","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-03","2019-06-04","00:00:00","","06","3","0"
"2019-05-05","1:Firm","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","FYJ5400163","2019-05-03","2019-05-03","2019-05-06","00:00:00","2019/05/06","05","15","0"
"2019-05-05","1:Firm","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","FYJ5400512","2019-05-03","2019-05-03","2019-05-06","00:00:00","2019/05/06","05","15","0"
"2019-05-05","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-07-01","2019-07-02","00:00:00","","07","33","0"
"2019-05-05","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-04","2019-06-05","00:00:00","","06","3","0"
"2019-05-05","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-09","2019-05-10","00:00:00","","05","30","0"
"2019-05-05","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-21","2019-06-24","00:00:00","","06","24","0"
"2019-05-05","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-05-20","2019-05-21","00:00:00","","05","60","0"
"2019-05-05","10:Total forecast","D20110","IEMT","8981655171","898165-5171","PIPE; WATER BYPASS","RT50","","2019-05-03","2019-06-10","2019-06-11","00:00:00","","06","9","0"
